prodct_page_rl,title,category,price,rating,availability,available_cont,pc,description,image_rl
https://books.toscrape.com/cataloge/if-i-gave-yo-gods-phone-nmber-searching-for-spiritality-in-america_564/index.html,If I Gave Yo God's Phone Nmber....: Searching for Spiritality in America,Spiritality,.1,1,In stock,,fab4c4f6fa4ce,"If I Gave Yo God’s Phone Nmber… - Srvey reveals people's relationships with their CreatorWhat do a Cherokee Medicine Woman, a Death Row inmate, an Afghani Sfi Mystic, a Catholic, a Jew, several praying kids, and Mare Cromwell have in common? They all feel strongly abot who or what they think God is, why things happen the way they do, and what will become of s in the ftre. They qestion, praise and criticize God in the hopes of better nderstanding themselves and others. In a world challenged by economic isses, climate change, war, and constant threat of terrorism, people are pasing from their daily rotines to ask the deeper qestions and wonder abot the divine and mysterios natre of their Creator.In this book, athor and spirital seeker Mare Cromwell interviews people from all walks of life, asking, “If I gave yo God’s phone nmber, what wold yo do with it?” This spirital memoir, framed by twenty-one interviews with people from all walks of life, combines the oral tradition of Stds Terkel with the solfl searchings of Neale Donald Welsh. If I gave yo God’s phone nmber… offers the reader what only the best books offer—windows into the most athentic reaches of the sol. Cromwell’s conscientios selection of interview sbjects, and her deft qestioning, which presses them to go deeper and deeper, is what lends the book its striking range. This diorama of spirital postres—some passionate, some highly intellectalized—is impossible to look away from, infects the reader with a fever of criosity abot the hman condition, and then proceeds to administer…",https://books.toscrape.com/media/cache/1/1a/11a1f54fc65fc4cceafb375.jpg
https://books.toscrape.com/cataloge/the-activists-tao-te-ching-ancient-advice-for-a-modern-revoltion_/index.html,The Activist's Tao Te Ching: Ancient Advice for a Modern Revoltion,Spiritality,3.4,5,In stock,,7d6da6c76f1b,"Change and anger are in the air. Looking for answers to today’s wrenching challenges, William Martin trns to the Tao Te Ching and finds that while Taoism is known for its qiet, enigmatic wisdom, the Tao can also have the cleansing force of a rshing river.Throgh his interpretation of this ancient Chinese text, Martin elcidates revoltionary messages condemning power-se Change and anger are in the air. Looking for answers to today’s wrenching challenges, William Martin trns to the Tao Te Ching and finds that while Taoism is known for its qiet, enigmatic wisdom, the Tao can also have the cleansing force of a rshing river.Throgh his interpretation of this ancient Chinese text, Martin elcidates revoltionary messages condemning power-seeking and greed. He emphasizes that hmans have a “natral virte” that can help them heal the planet; shows how Taoism’s simplicity can be sbversive and its flexibility a potent force; and reassres that “when injstice is the rle, jstice always lies in wait.”Provocative and stirring, Martin’s Tao flows within and throgh those who ride the waves of anger and frstration and gently gides them to tre freedom.“We have learned the secret of transformation: Injstice feeds or determination. Hate increases or love. Wonds bring forth or healing, and fear ncovers or corage and serenity.”— from The Activist’s Tao Te Ching",https://books.toscrape.com/media/cache/da/c/daca3541a51b1e44a53f56.jpg
https://books.toscrape.com/cataloge/chasing-heaven-what-dying-taght-me-abot-living_77/index.html,Chasing Heaven: What Dying Taght Me Abot Living,Spiritality,37.,,In stock,,51371dadc13ae,"From the athor of the New York Times bestseller, Waking Up in Heaven, comes an extraordinary story abot Crystal McVea’s personal transformation after visiting heaven and how readers can experience heaven themselves—and live a more meaningfl life.On December 1, , Crystal McVea was being treated in a hospital for pancreatitis. Her heart stopped pmping for nine mint From the athor of the New York Times bestseller, Waking Up in Heaven, comes an extraordinary story abot Crystal McVea’s personal transformation after visiting heaven and how readers can experience heaven themselves—and live a more meaningfl life.On December 1, , Crystal McVea was being treated in a hospital for pancreatitis. Her heart stopped pmping for nine mintes before doctors managed to revive her. In those nine mintes, she went to heaven, stood with God, and was forever changed.Ever since Crystal’s incredible experience, her life has been profondly different. She has become a brand new person in every conceivable way—heart, mind, sol, and spirit. By dying, Crystal learned how to live. Crystal realized that heaven is real and or tre home, bt we are still meant to have meaningfl lives fll of passion and prpose right here on earth. She believes we have to chase heaven while we are still alive and allow God to trn or lkewarm love into a firestorm of faith. Chasing Heaven is the story of how God called to Crystal, what He told her, and how she fond a way to get closer to Him again here on earth.Crystal assres s that we don’t have to die and go to heaven in order to ignite or…",https://books.toscrape.com/media/cache/7/cd/7cdaa5c4e344ffcb17b4bf6efd.jpg
https://books.toscrape.com/cataloge/the-for-agreements-a-practical-gide-to-personal-freedom_7/index.html,The For Agreements: A Practical Gide to Personal Freedom,Spiritality,17.66,5,In stock,,65a1f6a6dcfe5,"In The For Agreements, don Migel Riz reveals the sorce of self-limiting beliefs that rob s of joy and create needless sffering. Based on ancient Toltec wisdom, the For Agreements offer a powerfl code of condct that can rapidly transform or lives to a new experience of freedom, tre happiness, and love. The For Agreements are: Be Impeccable With Yor Word, Don't Take Anything Personally, Don't Make Assmptions, Always Do Yor Best.",https://books.toscrape.com/media/cache/b/1b/b1bfecaed51cb6ee43ccf7616f.jpg
https://books.toscrape.com/cataloge/we-are-all-completely-beside-orselves_31/index.html,We Are All Completely Beside Orselves,Contemporary,4.4,1,In stock,,be3db344a455b,"Meet the Cooke family. Or narrator is Rosemary Cooke. As a child, she never stopped talking; as a yong woman, she has wrapped herself in silence: the silence of intentional forgetting, of protective cover. Something happened, something so awfl she has bried it in the recesses of her mind.Now her adored older brother is a fgitive, wanted by the FBI for domestic terrori Meet the Cooke family. Or narrator is Rosemary Cooke. As a child, she never stopped talking; as a yong woman, she has wrapped herself in silence: the silence of intentional forgetting, of protective cover. Something happened, something so awfl she has bried it in the recesses of her mind.Now her adored older brother is a fgitive, wanted by the FBI for domestic terrorism. And her once lively mother is a shell of her former self, her clever and imperios father now a distant, brooding man.And Fern, Rosemary’s beloved sister, her accomplice in all their childhood mischief? Fern’s is a fate the family, in all their innocence, cold never have imagined.",https://books.toscrape.com/media/cache/d/5/d5f4fd1ea75555ad6371444ce6d.jpg
https://books.toscrape.com/cataloge/someone-like-yo-the-harrisons-_735/index.html,Someone Like Yo (The Harrisons #),Contemporary,5.7,5,In stock,,a7db6bbcff,"Pierce Harrison--yes, that Pierce Harrison, black sheep of the wealthy Harrison clan--has come home to his family's lxrios Long Island compond. The big qestion is why the dangerosly sexy soccer star agreed to coach a kids' soccer team. His co-coach Abby McCord shold be gratefl. Instead she's fending off some seriosly smoldering advances from the scandal-ridden ath Pierce Harrison--yes, that Pierce Harrison, black sheep of the wealthy Harrison clan--has come home to his family's lxrios Long Island compond. The big qestion is why the dangerosly sexy soccer star agreed to coach a kids' soccer team. His co-coach Abby McCord shold be gratefl. Instead she's fending off some seriosly smoldering advances from the scandal-ridden athlete. Good thing bad boys are so not her type . . . Abby is definitely not lacking in passion, bt the sweet-faced beaty needs to learn a thing or two abot taking a team to the championship--and a whole lot abot how to let a man into her once-broken heart. Pierce definitely knows how to make the moves, bt will Abby trst that the bachelor the world has condemned as a scondrel can settle down with the one woman who has taken hold of his heart?",https://books.toscrape.com/media/cache/3/67/367dcd57167775d56dcce3.jpg
https://books.toscrape.com/cataloge/rework_1/index.html,Rework,Bsiness,44.,,In stock,,edd43117ce,"Most bsiness books give yo the same old advice: Write a bsiness plan, stdy the competition, seek investors, yadda yadda. If yo're looking for a book like that, pt this one back on the shelf.Rework shows yo a better, faster, easier way to scceed in bsiness. Read it and yo'll know why plans are actally harmfl, why yo don't need otside investors, and why yo're better off ignoring the competition. The trth is, yo need less than yo think. Yo don't need to be a workaholic. Yo don't need to staff p. Yo don't need to waste time on paperwork or meetings. Yo don't even need an office. Those are all jst excses. What yo really need to do is stop talking and start working. This book shows yo the way. Yo'll learn how to be more prodctive, how to get exposre withot breaking the bank, and tons more conterintitive ideas that will inspire and provoke yo.With its straightforward langage and easy-is-better approach, Rework is the perfect playbook for anyone who’s ever dreamed of doing it on their own. Hardcore entrepreners, small-bsiness owners, people stck in day jobs they hate, victims of ""downsizing,"" and artists who don’t want to starve anymore will all find valable gidance in these pages.",https://books.toscrape.com/media/cache/1/3/133adbf17ac7c6a54b3d31.jpg
https://books.toscrape.com/cataloge/the-lean-startp-how-todays-entrepreners-se-continos-innovation-to-create-radically-sccessfl-bsinesses_6/index.html,The Lean Startp: How Today's Entrepreners Use Continos Innovation to Create Radically Sccessfl Bsinesses,Bsiness,33.,3,In stock,,7c7c3ca7fb7,"Most startps fail. Bt many of those failres are preventable. The Lean Startp is a new approach being adopted across the globe, changing the way companies are bilt and new prodcts are lanched. Eric Ries defines a startp asan organization dedicated to creating something new nder conditions of extreme ncertainty. This is jst as tre for one person in a garage or a Most startps fail. Bt many of those failres are preventable. The Lean Startp is a new approach being adopted across the globe, changing the way companies are bilt and new prodcts are lanched. Eric Ries defines a startp as an organization dedicated to creating something new nder conditions of extreme ncertainty. This is jst as tre for one person in a garage or a grop of seasoned professionals in a Fortne 5 boardroom. What they have in common is a mission to penetrate that fog of ncertainty to discover a sccessfl path to a sstainable bsiness. The Lean Startp approach fosters companies that are both more capital efficient and that leverage hman creativity more effectively. Inspired by lessons from lean manfactring, it relies on “validated learning,” rapid scientific experimentation, as well as a nmber of conter-intitive practices that shorten prodct development cycles, measre actal progress withot resorting to vanity metrics, and learn what cstomers really want. It enables a company to shift directions with agility, altering plans inch by inch, minte by minte. Rather than wasting time creating elaborate bsiness plans, The Lean Startp offers entrepreners - in companies of…",https://books.toscrape.com/media/cache/5/6e/56ef36dadb64ca7ccdbcaa.jpg
https://books.toscrape.com/cataloge/born-for-this-how-to-find-the-work-yo-were-meant-to-do_5/index.html,Born for This: How to Find the Work Yo Were Meant to Do,Bsiness,1.5,5,In stock,,161ecb41,"To the otside observer, it seems like they’ve won the career lottery—that by some stroke of lck or circmstance, they’ve fond the one thing they love so mch that it doesn’t even feel like work, and they’re getting paid well to do it. In reality, their good fortne has nothing to do with chance. There’s a method for finding yor perfect job, and Chris Gillebea, the be To the otside observer, it seems like they’ve won the career lottery—that by some stroke of lck or circmstance, they’ve fond the one thing they love so mch that it doesn’t even feel like work, and they’re getting paid well to do it. In reality, their good fortne has nothing to do with chance. There’s a method for finding yor perfect job, and Chris Gillebea, the bestselling athor of The $1 Startp, has created a practical gide for how to do it—whethe rwithin a traditional company or bsiness, or by striking ot on yor own. Finding the work yo were “born to do” isn’t jst abot discovering yor passion. Doing what brings yo joy is great, bt if yo aren’t earning a living, it’s a hobby, not a career. And those who jmp ot of bed excited to go to work every morning don’t jst have jobs that trn their passions into paychecks. They have jobs where they also can lose themselves for hors in the flow of meaningfl work. This intersection of joy, money, and flow is what Gillebea will help yo find in this book. Throgh inspiring stories of those who have sccessflly landed their dream career, as well as actionable tools, exercises, and thoght experiments, he’ll gide yo throgh today’s…",https://books.toscrape.com/media/cache/f/e7/fe7f643f16b166cb36f1613ff6.jpg
https://books.toscrape.com/cataloge/rich-dad-poor-dad_43/index.html,"Rich Dad, Poor Dad",Bsiness,51.74,1,In stock,,46f61aa1a3daa,"Personal finance athor and lectrer Robert T. Kiyosaki developed his niqe economic perspective from two very different inflences - his two fathers. One father (Robert's real father) was a highly edcated man bt fiscally poor. The other father was the father of Robert's best friend - that Dad was an eighth-grade drop-ot who became a self-made mlti-millionaire. The li Personal finance athor and lectrer Robert T. Kiyosaki developed his niqe economic perspective from two very different inflences - his two fathers. One father (Robert's real father) was a highly edcated man bt fiscally poor. The other father was the father of Robert's best friend - that Dad was an eighth-grade drop-ot who became a self-made mlti-millionaire. The lifelong monetary problems experienced by his poor dad ponded home the conterpoint commnicated by his rich dad. Taking that message to heart, Kiyosaki was able to retire at 47.",https://books.toscrape.com/media/cache/46/1c/461cf454be3aacb4cd6647c67.jpg
https://books.toscrape.com/cataloge/the-e-myth-revisited-why-most-small-bsinesses-dont-work-and-what-to-do-abot-it_545/index.html,The E-Myth Revisited: Why Most Small Bsinesses Don't Work and What to Do Abot It,Bsiness,36.1,1,In stock,,a3a36ed4,"E-Myth 'e-,'mith n 1: the entreprenerial myth: the myth that most people who start small bsinesses are entrepreners : the fatal assmption that an individal who nderstands the technical work of a bsiness can sccessflly rn a bsiness that does that technical workVoted #1 bsiness book by Inc. 5 CEOs.An instant classic, this revised and pdated edition of the phenomenal bestseller dispels the myths abot starting yor own bsiness. Small bsiness consltant and athor Michael E. Gerber, with sharp insight gained from years of experience, points ot how common assmptions, expectations, and even technical expertise can get in the way of rnning a sccessfl bsiness.Gerber walks yo throgh the steps in the life of a bsiness—from entreprenerial infancy throgh adolescent growing pains to the matre entreprenerial perspective: the giding light of all bsinesses that scceed—and shows how to apply the lessons of franchising to any bsiness, whether or not it is a franchise. Most importantly, Gerber draws the vital, often overlooked distinction between working on yor bsiness and working in yor bsiness.The E-Myth Revisited will help yo grow yor bsiness in a prodctive, assred way.",https://books.toscrape.com/media/cache/a5/7e/a57ef7bdbaf74fca7ab6dd15b54f.jpg
https://books.toscrape.com/cataloge/the-art-of-startp-fndraising_66/index.html,The Art of Startp Fndraising,Bsiness,1.,3,In stock,,1c54fa7a1c4f,"The Art of Startp Fndraising takes a fresh look at raising money for startps, with a focs on the changing face of startp finance. New reglations are making the old go-to advice less relevant, as startp money is increasingly moving online. These new waters are all bt ncharted—and fonders need an accessible gide. This book helps yo navigate the online world of st The Art of Startp Fndraising takes a fresh look at raising money for startps, with a focs on the changing face of startp finance. New reglations are making the old go-to advice less relevant, as startp money is increasingly moving online. These new waters are all bt ncharted—and fonders need an accessible gide. This book helps yo navigate the online world of startp fndraising with easy-to-follow explanations and expert perspective on the new digital world of finance. Yo'll find tips and tricks on raising money and investing in startps from early stage to growth stage, and develop a clear strategy based on the new realities srronding today's startp landscape.The finance world is in a massive state of flx. Changes are occrring at an increasing pace in all sectors, bt few more intensely than the startp sphere. When the paradigm changes, yor processes mst change with it. This book shows yo how startp fnding works, with expert coaching toward the new rles on the field.-Learn how the JOBS Act impacts the fndraising model-Gain insight on startps from early stage to growth stage-Find the money yo need to get yor ventre going-Craft yor pitch and optimize the strategy-Bild…",https://books.toscrape.com/media/cache/67/e/67e1a7a57a1a4163336.jpg
